latitud 	longitud	ondulacion
-0.228524	-78.431106	27.274
-0.23616	-78.432728	27.235
-0.23492	-78.45907	27.342
-0.291403	-78.486132	27.225
-0.261282	-78.475108	27.287
-0.263124	-78.468503	27.097
-0.232709	-78.455813	27.306
-0.296096	-78.472667	27.282
-0.299245	-78.466921	27.252
-0.265972	-78.46043	27.288
-0.267172	-78.45387	27.278
-0.234236	-78.448654	27.304
-0.234872	-78.443718	27.262
-0.300893	-78.459642	27.248
-0.272192	-78.446719	27.295
-0.236146	-78.43436	27.359
-0.258008	-78.567512	27.845
-0.263654	-78.564047	27.845
-0.229669	-78.54816	27.846
-0.234038	-78.542098	27.7
-0.26667	-78.558902	27.809
-0.302151	-78.558375	27.623
-0.304951	-78.550906	27.561
-0.270251	-78.545295	27.591
-0.239185	-78.533576	27.811
-0.242312	-78.527284	27.768
-0.299939	-78.542153	27.56
-0.302061	-78.533817	27.525
-0.263504	-78.527971	27.536
-0.267347	-78.520077	27.485
-0.231558	-78.514691	27.583
-0.284969	-78.514049	27.496
-0.271132	-78.515014	27.501
-0.257318	-78.502208	27.433
-0.238986	-78.50509	27.504
-0.290801	-78.508124	27.483
-0.288056	-78.500751	27.386
-0.256527	-78.488873	27.395
-0.288107	-78.491065	27.336
-0.260373	-78.482037	27.395
-0.301757	-78.58426	27.727
-0.310919	-78.57378	27.691
-0.309514	-78.569359	27.668
-0.317793	-78.556968	27.631
-0.321023	-78.518371	27.469
-0.307714	-78.451457	27.282
-0.300436	-78.451226	27.239
-0.2951	-78.446253	27.247
-0.288425	-78.442628	27.246
-0.281768	-78.439263	27.267
-0.120176	-78.355428	26.994
-0.104456	-78.358776	26.969
-0.103209	-78.35357	26.976
-0.033959	-78.341899	27.117
-0.038936	-78.336379	27.114
-0.04439	-78.353013	27.059
-0.052276	-78.350561	27.038
-0.096467	-78.351675	27.076
-0.087567	-78.343991	27.139
-0.062948	-78.307928	27.322
-0.058253	-78.348225	27.085
-0.063164	-78.343081	27.112
-0.03607	-78.30161	27.277
-0.087225	-78.364655	26.885
-0.091048	-78.357508	27.116
-0.08458	-78.347981	27.088
-0.071176	-78.341822	27.057
-0.076158	-78.336609	27.132
-0.064466	-78.320018	27.217
-0.051231	-78.314044	27.269
-0.05676	-78.30956	27.313
-0.041389	-78.30164	27.366
-0.046125	-78.296356	27.433
-0.078419	-78.330108	27.188
-0.118726	-78.34952	27.121
-0.098465	-78.299237	27.518
-0.101591	-78.291319	27.567
-0.085087	-78.294995	27.652
-0.088347	-78.288137	27.715
-0.041425	-78.282505	27.531
-0.2879	-78.436512	27.325
-0.295593	-78.436348	27.371
-0.288816	-78.40018	27.419
-0.295724	-78.399182	27.369
-0.28889	-78.390837	27.427
-0.298319	-78.393011	27.405
-0.327469	-78.369922	27.661
-0.334959	-78.368159	27.692
-0.302377	-78.403783	27.462
-0.301146	-78.391871	27.514
-0.303048	-78.384538	27.566
-0.271464	-78.381199	27.494
-0.274076	-78.374722	27.532
-0.237677	-78.369306	27.493
-0.243142	-78.363778	27.556
-0.301329	-78.366593	27.662
-0.306904	-78.363287	27.609
-0.305222	-78.378672	27.607
-0.308915	-78.372129	27.514
-0.276129	-78.367383	27.577
-0.277397	-78.362232	27.617
-0.242831	-78.356777	27.462
-0.246366	-78.350962	27.538
-0.293015	-78.389694	27.419
-0.135626	-78.354103	26.987
-0.137515	-78.346657	27.183
-0.077261	-78.321173	27.265
-0.079455	-78.314549	27.311
-0.090168	-78.326283	27.247
-0.092374	-78.319534	27.294
-0.120217	-78.334412	27.208
-0.121053	-78.327938	27.244
-0.138692	-78.340243	27.232
-0.150766	-78.344466	27.234
-0.09095	-78.350371	27.201
-0.03383	-78.325519	27.147
-0.081835	-78.368208	26.896
-0.039282	-78.32284	27.168
-0.074958	-78.373662	26.977
-0.032914	-78.311868	27.299
-0.044318	-78.317396	27.215
-0.03653	-78.307889	27.343
-0.062478	-78.378028	27
-0.070483	-78.375121	27.001
-0.062077	-78.334887	27.133
-0.09865	-78.33537	27.207
-0.091545	-78.342136	27.157
-0.120373	-78.34149	27.183
-0.068516	-78.316299	27.267
-0.129979	-78.330458	27.289
-0.138126	-78.331006	27.218
-0.16658	-78.341544	27.323
-0.101655	-78.284613	27.693
-0.100861	-78.276348	27.761
-0.126779	-78.292161	27.657
-0.129304	-78.286168	27.745
-0.135578	-78.294446	27.584
-0.137209	-78.288221	27.727
-0.148437	-78.299101	27.635
-0.149733	-78.291315	27.745
-0.180532	-78.308281	27.66
-0.181342	-78.300154	27.785
-0.212525	-78.31697	27.669
-0.20913	-78.310716	27.763
-0.182363	-78.336118	27.419
-0.182566	-78.328977	27.458
-0.168585	-78.33392	27.426
-0.173234	-78.327412	27.451
-0.141509	-78.325628	27.325
-0.145496	-78.319261	27.405
-0.132468	-78.322954	27.439
-0.133197	-78.31674	27.463
-0.122093	-78.320676	27.425
-0.12365	-78.313473	27.378
-0.095248	-78.312487	27.366
-0.097138	-78.304537	27.492
-0.068826	-78.305016	27.396
-0.067208	-78.296123	27.495
-0.037432	-78.294457	27.439
-0.037982	-78.287739	27.419
-0.203396	-78.328534	27.524
-0.205434	-78.323001	27.597
-0.174953	-78.321968	27.484
-0.177506	-78.31584	27.595
-0.144509	-78.311232	27.488
-0.14579	-78.304548	27.549
-0.132959	-78.308024	27.484
-0.135484	-78.302323	27.615
-0.126583	-78.30729	27.431
-0.126301	-78.299337	27.583
-0.086958	-78.501354	27.582
-0.108476	-78.474817	27.419
0.031155	-78.345911	27.587
-0.054218	-78.464595	27.24
-0.06881	-78.439944	27.344
0.002997	-78.484717	27.3
-0.033922	-78.451269	27.159
-0.11547	-78.571721	27.958
-0.2501	-78.587176	27.885
-0.138102	-78.542609	27.97
-0.158686	-78.511704	27.846
-0.241382	-78.284773	28.276
-0.305909	-78.344093	27.785
-0.319476	-78.270688	28.458
-0.010327	-78.332787	27.23
-0.032914	-78.311868	27.298
-0.146026	-78.44532	27.208
-0.170105	-78.419688	27.109
-0.248981	-78.530902	27.609
-0.273525	-78.495909	27.394
-0.058819	-78.490047	27.376
0.017859	-78.431869	27.022
0.003373	-78.540839	27.383
-0.035392	-78.523808	27.856
-0.109338	-78.577123	27.885
-0.384523	-78.519734	27.434
-0.307402	-78.48705	27.27
-0.327119	-78.450624	27.262
-0.23671	-78.417097	27.251
-0.138641	-78.434466	27.179
-0.154926	-78.385568	27.097
-0.046862	-78.402187	27.123
-0.065735	-78.357101	26.998
0.037484	-78.367261	27.401
0.012838	-78.323511	27.233
0.004972	-78.293756	27.575
-0.087059	-78.324292	27.168
-0.099196	-78.281772	27.673
-0.156111	-78.342899	27.258
-0.158954	-78.294218	27.775
-0.249847	-78.379028	27.276
-0.240195	-78.330629	27.652
